#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36E29
#Date Time: 2018-03-02 19:10:23.750
#Trigger:Source: ManualCondition: Rising
#Channel 1: Range: 10 mV/div Offset: -2.5 V
#Currents: 200, 100, 50, 10, 5, 0 mA

Time (s),Channel 1 (V)
-57.794999999999995,2.5398919386525498
-57.779999999999994,2.540226387687023
-57.764999999999993,2.5398919386525498
-57.749999999999993,2.5398919386525498
-57.734999999999999,2.5395574896180766
-57.719999999999999,2.5398919386525498
-57.704999999999998,2.5398919386525498
-57.689999999999998,2.5398919386525498
-57.674999999999997,2.5398919386525498
-57.659999999999997,2.5398919386525498
-57.644999999999996,2.5398919386525498
-57.629999999999995,2.5398919386525498
-57.614999999999995,2.540226387687023
-57.599999999999994,2.540226387687023
-57.584999999999994,2.540226387687023
-57.569999999999993,2.5398919386525498
-57.554999999999993,2.5398919386525498
-57.539999999999999,2.5395574896180766
-57.524999999999999,2.540226387687023
-57.509999999999998,2.5395574896180766
-57.494999999999997,2.540226387687023
-57.479999999999997,2.5398919386525498
